name,mile,type
基隆端,0,國道一號
基隆交流道,1,國道一號
八堵交流道,2,國道一號
大華系統交流道,5,國道一號
五堵交流道,6,國道一號
汐止交流道,10,國道一號
汐止系統交流道,11,國道一號
高架道路汐止端,13,國道一號
東湖交流道,15,國道一號
內湖交流道,17,國道一號
圓山交流道,23,國道一號
台北交流道,25,國道一號
三重交流道,27,國道一號
五股轉接道,32,國道一號
五股交流道,33,國道一號
泰山轉接道,35,國道一號
林口交流道,41,國道一號
桃園交流道,49,國道一號
機場系統交流道,52,國道一號
中壢服務區 ,55,國道一號
內壢交流道,57,國道一號
中壢轉接道,59,國道一號
中壢交流道,62,國道一號
平鎮系統交流道,65,國道一號
幼獅交流道,67,國道一號
楊梅交流道,69,國道一號
高架道路楊梅端,71,國道一號
湖口交流道,83,國道一號
湖口服務區,86,國道一號
竹北交流道 ,91,國道一號
新竹交流道,95,國道一號
新竹系統交流道,99,國道一號
頭份交流道,110,國道一號
頭屋交流道,125,國道一號
苗栗交流道,132,國道一號
銅鑼交流道,140,國道一號
三義交流道,150,國道一號
泰安服務區,159,國道一號
后里交流道,160,國道一號
台中系統交流道 ,165,國道一號
豐原交流道 ,168,國道一號
大雅交流道,174,國道一號
台中交流道,178,國道一號
南屯交流道,181,國道一號
王田交流道,189,國道一號
彰化系統交流道,192,國道一號
彰化交流道 ,198,國道一號
埔鹽系統交流道,207,國道一號
員林交流道,211,國道一號
北斗交流道,220,國道一號
西螺服務區,229,國道一號
西螺交流道,230,國道一號
虎尾交流道,235,國道一號
斗南交流道,240,國道一號
雲林系統交流道 ,243,國道一號
大林交流道 ,250,國道一號
民雄交流道 ,257,國道一號
嘉義交流道 ,264,國道一號
水上交流道 ,270,國道一號
嘉義系統交流道 ,272,國道一號
新營服務區 ,284,國道一號
新營交流道 ,288,國道一號
下營系統交流道 ,299,國道一號
麻豆交流道 ,303,國道一號
安定交流道 ,311,國道一號
台南系統交流道,315,國道一號
永康交流道 ,319,國道一號
大灣交流道 ,324,國道一號
台南交流道,327,國道一號
仁德系統交流道 ,330,國道一號
仁德服務區 ,335,國道一號
路竹交流道 ,338,國道一號
高科交流道,342,國道一號
岡山交流道 ,349,國道一號
楠梓交流道 ,356,國道一號
鼎金系統交流道 ,362,國道一號
高雄交流道 ,367,國道一號
瑞隆路出口匝道,369,國道一號
五甲系統交流道 ,370,國道一號
五甲交流道,371,國道一號
高雄端 ,372,國道一號
高雄端 ,373,國道一號
高雄端 ,374,國道一號
機場端 ,0,國道二號
大園交流道 ,1,國道二號
大竹交流道,4,國道二號
機場系統交流道,8,國道二號
