ID,HWType,Direction,Mileage,ListPrice,SInter,EInter,Lat,Lon
01F0005N,國一(北上),N,1.1,1.3,基隆(長庚醫院),基隆端(基隆港),25.11831111,121.7316361
01F0017N,國一(北上),N,1.2,1.4,八堵,基隆(長庚醫院),25.10956667,121.7259056
01F0029N,國一(北上),N,2.8,3.3,大華系統(連接台62),八堵,25.10311111,121.7173694
01F0061N,國一(北上),N,1.8,2.1,五堵,大華系統(連接台62),25.08839444,121.6934833
01F0099N,國一(北上),N,3.7,4.4,汐止&汐止系統(連接國3),五堵,25.07604444,121.6594222
01F0147N,國一(北上),N,3.7,4.4,東湖,汐止&汐止系統(連接國3),25.06564444,121.6135194
01F0155N,國一(北上),N,2.1,2.5,內湖(南京東、成功路),東湖,25.06475278,121.6059028
01F0213N,國一(北上),N,5.9,7,圓山(建國北路),內湖(南京東、成功路),25.073053,121.550358
01F0233N,國一(北上),N,2.1,2.5,台北(重慶北、士林),圓山(建國北路),25.07301944,121.5307028
01F0256N,國一(北上),N,2,2.4,三重,台北(重慶北、士林),25.07806667,121.5091056
01F0293N,國一(北上),N,5.9,7,五股,三重,25.07479722,121.4729611
01F0339N,國一(北上),N,1.4,1.6,高公局,五股,25.068239,121.428764
01F0376N,國一(北上),N,6.5,7.8,林口(文化一路),高公局,25.058667,121.397306
01F0413N,國一(北上),N,1.4,1.6,林口(文化北路),林口(文化一路),25.065081,121.363444
01F0467N,國一(北上),N,6.8,8.1,桃園,林口(文化北路),25.047075,121.317761
01F0509N,國一(北上),N,3.2,3.8,機場系統(連接國2),桃園,25.027206,121.283072
01F0532N,國一(北上),N,2.9,3.4,中壢服務區,機場系統(連接國2),25.012944,121.266194
01F0557N,國一(北上),N,2.2,2.6,內壢,中壢服務區,24.998583,121.247722
01F0584N,國一(北上),N,5.1,6.1,中壢,內壢,24.980558,121.228944
01F0633N,國一(北上),N,2.6,3.1,平鎮系統(連接台66),中壢,24.949281,121.195594
01F0664N,國一(北上),N,2.3,2.7,幼獅,平鎮系統(連接台66),24.929544,121.176919
01F0681N,國一(北上),N,1.9,2.2,楊梅,幼獅,24.917967,121.167586
01F0750N,國一(北上),N,14.6,17.5,湖口,楊梅,24.893436,121.111731
01F0880N,國一(北上),N,7.3,8.7,竹北,湖口,24.848719,121.019031
01F0928N,國一(北上),N,3,3.6,新竹(光復路),竹北,24.808453,121.010306
01F0956N,國一(北上),N,2.5,3,新竹(科學園區),新竹(光復路),24.783944,121.003725
01F0979N,國一(北上),N,2.8,3.3,新竹系統(連接國3),新竹(科學園區),24.764414,120.999897
01F1045N,國一(北上),N,11,13.2,頭份,新竹系統(連接國3),24.727131,120.951897
01F1123N,國一(北上),N,15.1,18.1,頭屋,頭份,24.67931667,120.9042667
01F1292N,國一(北上),N,7.4,8.8,苗栗,頭屋,24.550442,120.838925
01F1389N,國一(北上),N,7.3,8.7,銅鑼,苗栗,24.485919,120.781903
01F1465N,國一(北上),N,10,12,三義,銅鑼,24.420514,120.775731
01F1572N,國一(北上),N,10.5,12.6,后里,三義,24.339147,120.72085
01F1621N,國一(北上),N,4.7,5.6,台中系統(連接國4),后里,24.301186,120.697325
01F1664N,國一(北上),N,2.5,3,豐原,台中系統(連接國4),24.262647,120.691956
01F1725N,國一(北上),N,6.2,7.4,大雅,豐原,24.212956,120.671375
01F1774N,國一(北上),N,4.4,5.2,台中(台灣大道),大雅,24.184592,120.635611
01F1802N,國一(北上),N,2.8,3.3,南屯,台中(台灣大道),24.163706,120.621933
01F1839N,國一(北上),N,8.2,9.8,王田,南屯,24.130767,120.617247
01F1906N,國一(北上),N,3.1,3.7,彰化系統(連接國3),王田,24.113572,120.568131
01F1960N,國一(北上),N,5.6,6.7,彰化,彰化系統(連接國3),24.085622,120.52785
01F2011N,國一(北上),N,9.1,10.9,埔鹽系統(連接台76),彰化,24.040639,120.522786
01F2089N,國一(北上),N,3.4,4,員林,埔鹽系統(連接台76),23.971794,120.506117
01F2156N,國一(北上),N,9.1,10.9,北斗,員林,23.912769,120.49765
01F2249N,國一(北上),N,10.4,12.4,西螺,北斗,23.830569,120.484881
01F2322N,國一(北上),N,5.2,6.2,虎尾(斗六聯絡道),西螺,23.766328,120.469342
01F2394N,國一(北上),N,4.9,5.8,斗南(158縣道),虎尾(斗六聯絡道),23.702603,120.474917
01F2425N,國一(北上),N,3.2,3.8,雲林系統(連接台78),斗南(158縣道),23.677375,120.462281
01F2483N,國一(北上),N,6.5,7.8,大林,雲林系統(連接台78),23.629158,120.440264
01F2514N,國一(北上),N,6.9,8.2,民雄,大林,23.601989,120.435417
01F2603N,國一(北上),N,7.1,8.5,嘉義,民雄,23.526739,120.405583
01F2674N,國一(北上),N,6.2,7.4,水上,嘉義,23.469403,120.3777
01F2714N,國一(北上),N,2.5,3,嘉義系統(連接台82),水上,23.436367,120.361561
01F2827N,國一(北上),N,15.5,18.6,新營,嘉義系統(連接台82),23.347469,120.322192
01F2930N,國一(北上),N,11.2,13.4,下營系統(連接台84),新營,23.272589,120.265769
01F3019N,國一(北上),N,4.1,4.9,麻豆,下營系統(連接台84),23.205089,120.236675
01F3083N,國一(北上),N,7.5,9,安定,麻豆,23.148131,120.231303
01F3126N,國一(北上),N,4.3,5.1,台南系統(連接國8),安定,23.104817,120.247681
01F3185N,國一(北上),N,4.2,5,永康,台南系統(連接國8),23.051311,120.253025
01F3227N,國一(北上),N,7.8,9.3,台南(仁德),永康,23.051311,120.253025
未開通,國一(北上),N,#N/A,#N/A,未開通,未開通,22.991814,120.248175
01F3286N,國一(北上),N,3.3,3.9,仁德系統(連接台86),台南(仁德),22.960903,120.249822
01F3366N,國一(北上),N,7.6,9.1,路竹,仁德系統(連接台86),22.892619,120.27215
01F3398N,國一(北上),N,4.1,4.9,高科,路竹,22.867419,120.284989
01F3460N,國一(北上),N,7,8.4,岡山,高科,22.818039,120.312731
01F3525N,國一(北上),N,5.9,7,楠梓(旗楠路),岡山,22.761672,120.330806
01F3559N,國一(北上),N,1.8,2.1,楠梓(鳳楠路),楠梓(旗楠路),22.730903,120.334286
01F3590N,國一(北上),N,5.2,6.2,鼎金系統(連接國10、大中路),楠梓(鳳楠路),22.703525,120.328219
01F3640N,國一(北上),N,4.3,5.1,高雄(九如、建國路),鼎金系統(連接國10、大中路),22.658892,120.332081
01F3676N,國一(北上),N,1.2,1.4,高雄(中正、三多路),高雄(九如、建國路),22.627819,120.336222
01F3696N,國一(北上),N,2.9,3.4,五甲系統(連接台88),高雄(中正、三多路),22.609428,120.339608
01H0174N,國一高架(北上),N,7.5,9,堤頂,汐止&汐止系統(連接國1平面),25.065544,121.588044
01H0200N,國一高架(北上),N,1.7,2,下塔悠北上出口匝道,堤頂,25.070994,121.562519
01H0208N,國一高架(北上),N,5.1,6.1,環北,下塔悠北上出口匝道,25.072261,121.555014
01H0271N,國一高架(北上),N,7.4,8.8,五股,環北,25.075256,121.494019
01H0333N,國一高架(北上),N,1.4,1.6,高公局,五股,25.068147,121.435133
01H0447N,國一高架(北上),N,17.8,21.3,機場系統(連接國2),高公局,25.059242,121.332072
01H0579N,國一高架(北上),N,10.2,12.2,中壢,機場系統(連接國2),24.983667,121.232981
01H0608N,國一高架(北上),N,6.7,8,楊梅,中壢,24.965878,121.211614
03A0015N,國三甲(北上),N,3.6,4.3,萬芳(動物園、信義快),台北端,25.012144,121.562128
03A0041N,國三甲(北上),N,1.5,1.8,木柵(連接國3),萬芳(動物園、信義快),25.003864,121.586039
03F0021N,國三(北上),N,2.3,2.7,瑪東系統(連接台62),基金,25.129514,121.698631
03F0054N,國三(北上),N,8.4,10,汐止系統(連接國1),瑪東系統(連接台62),25.103747,121.681789
03F0116N,國三(北上),N,2.1,2.5,新台五路,汐止系統(連接國1),25.065611,121.643467
03F0140N,國三(北上),N,1.7,2,南港(連接環東大道),新台五路,25.050319,121.628156
03F0150N,國三(北上),N,1.2,1.4,南港系統(連接國五)&南深路出口匝道,南港(連接環東大道),25.042389,121.624789
03F0201N,國三(北上),N,4.4,5.2,木柵(連接國3甲),南港系統(連接國五)&南深路出口匝道,25.007375,121.596381
03F0217N,國三(北上),N,6.3,7.5,新店(中興路),木柵(連接國3甲),24.993744,121.593367
03F0301N,國三(北上),N,4.1,4.9,安坑(中央、安康路),新店(中興路),24.96255,121.530572
03F0338N,國三(北上),N,4.8,5.7,中和(連接台64),安坑(中央、安康路),24.978586,121.501744
03F0394N,國三(北上),N,6.7,8,土城(連接台65),中和(連接台64),24.975247,121.454925
03F0447N,國三(北上),N,8.2,9.8,三鶯,土城(連接台65),24.950503,121.412681
03F0525N,國三(北上),N,3.7,4.4,鶯歌系統(連接國2),三鶯,24.936025,121.3419
03F0559N,國三(北上),N,8.4,10,大溪(連接台66),鶯歌系統(連接國2),24.930225,121.312458
03F0648N,國三(北上),N,5.5,6.6,龍潭,大溪(連接台66),24.878792,121.250839
03F0698N,國三(北上),N,7.9,9.4,關西服務區,龍潭,24.856558,121.208581
03F0783N,國三(北上),N,3,3.6,關西,關西服務區,24.797339,121.179128
03F0846N,國三(北上),N,11.1,13.3,竹林,關西,24.791439,121.125997
03F0961N,國三(北上),N,8.5,10.2,寶山,竹林,24.758442,121.030425
03F0996N,國三(北上),N,1.9,2.2,新竹系統(連接國1),寶山,24.755811,120.997269
03F1022N,國三(北上),N,3.2,3.8,茄苳,新竹系統(連接國1),24.757914,120.972267
03F1051N,國三(北上),N,5.3,6.3,香山,茄苳,24.753094,120.945675
03F1128N,國三(北上),N,5.6,6.7,西濱(連接台61),香山,24.711383,120.889639
03F1161N,國三(北上),N,3.7,4.4,竹南,西濱(連接台61),24.698006,120.860086
03F1215N,國三(北上),N,5.4,6.4,大山,竹南,24.655964,120.838242
03F1257N,國三(北上),N,5.7,6.8,後龍,大山,24.627161,120.814006
03F1332N,國三(北上),N,4.7,5.6,西湖服務區,後龍,24.579642,120.764417
03F1395N,國三(北上),N,9.4,11.2,通霄,西湖服務區,24.531125,120.733253
03F1485N,國三(北上),N,12.5,15,苑裡,通霄,24.467308,120.681217
03F1633N,國三(北上),N,7.5,9,大甲,苑裡,24.341119,120.651567
03F1651N,國三(北上),N,4.7,5.6,中港系統(連接國4),大甲,24.334719,120.635578
03F1710N,國三(北上),N,3.5,4.2,清水服務區,中港系統(連接國4),24.292881,120.601964
03F1739N,國三(北上),N,3.7,4.4,沙鹿,清水服務區,24.269464,120.590806
03F1779N,國三(北上),N,6.7,8,龍井,沙鹿,24.234647,120.593306
03F1860N,國三(北上),N,8.8,10.5,和美,龍井,24.177831,120.548244
03F1941N,國三(北上),N,5.1,6.1,彰化系統(連接國1),和美,24.120947,120.534547
03F1992N,國三(北上),N,5.4,6.4,快官(連接台74),彰化系統(連接國1),24.102525,120.578747
03F2066N,國三(北上),N,5.2,6.2,烏日,快官(連接台74),24.070333,120.639711
03F2078N,國三(北上),N,1.8,2.1,中投(連接台63),烏日,24.067958,120.651433
03F2100N,國三(北上),N,2.3,2.7,霧峰(台3線、太平-台74),中投(連接台63),24.060428,120.671533
03F2125N,國三(北上),N,2.9,3.4,霧峰系統(連接國6),霧峰(台3線、太平-台74),24.040994,120.677853
03F2153N,國三(北上),N,3,3.6,草屯,霧峰系統(連接國6),24.01894444,120.6631611
03F2194N,國三(北上),N,5.6,6.7,中興系統(台76-八卦山隧道),草屯,23.985844,120.652714
03F2231N,國三(北上),N,1.8,2.1,中興,中興系統(台76-八卦山隧道),23.957103,120.657614
03F2260N,國三(北上),N,3.8,4.5,南投,中興,23.937928,120.676853
03F2306N,國三(北上),N,3,3.6,南投服務區,南投,23.906781,120.702828
03F2336N,國三(北上),N,5.6,6.7,名間,南投服務區,23.882031,120.709186
03F2415N,國三(北上),N,6.7,8,竹山,名間,23.814836,120.700003
03F2535N,國三(北上),N,16.5,19.8,斗六,竹山,23.775581,120.6259
03F2614N,國三(北上),N,8.8,10.5,古坑系統(連接台78),斗六,23.724425,120.601786
未開通,國三(北上),N,#N/A,#N/A,未開通,未開通,23.64927778,120.5729111
03F2747N,國三(北上),N,7.8,9.3,古坑服務區,古坑系統(連接台78),23.618203,120.558567
03F2777N,國三(北上),N,2.5,3,梅山,古坑服務區,23.606792,120.532511
03F2840N,國三(北上),N,9.6,11.5,竹崎(竹崎連絡道),梅山,23.558125,120.505061
03F2899N,國三(北上),N,2,2.4,竹崎(159縣道),竹崎(竹崎連絡道),23.511683,120.486328
03F2923N,國三(北上),N,6.5,7.8,中埔,竹崎(159縣道),23.492078,120.494586
03F2985N,國三(北上),N,2.9,3.4,水上系統(連接台82),中埔,23.442486,120.4812
03F3101N,國三(北上),N,11.3,13.5,白河,水上系統(連接台82),23.361253,120.436356
03F3187N,國三(北上),N,8.1,9.7,東山服務區,白河,23.296692,120.404164
03F3211N,國三(北上),N,2.8,3.3,柳營,東山服務區,23.279281,120.390253
03F3259N,國三(北上),N,7.1,8.5,烏山頭,柳營,23.244994,120.367378
03F3307N,國三(北上),N,5.1,6.1,官田系統(連接台84),烏山頭,23.203275,120.355461
03F3392N,國三(北上),N,5.3,6.3,善化,官田系統(連接台84),23.132064,120.333711
03F3445N,國三(北上),N,6.7,8,新化系統(連接國8),善化,23.085272,120.329033
03F3496N,國三(北上),N,10.1,12.1,關廟(連接台86),新化系統(連接國8),23.040203,120.325172
03F3588N,國三(北上),N,12.5,15,田寮,關廟(連接台86),22.969758,120.340164
03F3743N,國三(北上),N,13.5,16.2,燕巢系統(連接國10),田寮,22.845122,120.385428
03F3854N,國三(北上),N,7.9,9.4,九如,燕巢系統(連接國10),22.769197,120.441839
03F3916N,國三(北上),N,9.2,11,長治,九如,22.749792,120.496839
03F4021N,國三(北上),N,6.7,8,麟洛,長治,22.680347,120.563311
03F4142N,國三(北上),N,7.3,8.7,竹田系統(連接台88),麟洛,22.579586,120.526161
03F4168N,國三(北上),N,6.7,8,崁頂,竹田系統(連接台88),22.557408,120.524761
03F4232N,國三(北上),N,2.4,2.8,南州,崁頂,22.501367,120.525775
03F4259N,國三(北上),N,5.9,7,林邊(大鵬灣端),南州,22.477464,120.531386
05F0001N,國五(北上),N,4.1,4.9,石碇,南港系統(連接國3),25.03497222,121.6248611
05F0055N,國五(北上),N,10.5,12.6,坪林行控專用道,石碇,24.99615556,121.6520972
05F0287N,國五(北上),N,15.7,18.8,頭城,坪林行控專用道,24.84263889,121.7892861
05F0309N,國五(北上),N,6.5,7.8,宜蘭(四城、大福),頭城,24.82370556,121.7862139
05FR143N,國五(北上),N,3.9,4.6,宜蘭(壯圍),宜蘭(四城、大福),24.71092222,121.7895972
05F0438N,國五(北上),N,5.7,6.9,羅東,宜蘭(壯圍),24.63271667,121.8071667
05F0528N,國五(北上),N,6.9,8.2,蘇澳,羅東,24.73391667,121.78235
