date,hour,miniute,end,meannumber
1,0,0,9,76.67843137
1,0,0,10,72.4627451
1,0,0,11,78.34901961
1,0,0,12,90.10784314
1,0,0,13,64.26470588
1,0,0,14,55.64313725
1,0,0,15,59.17843137
1,0,0,16,67.75294118
1,0,0,17,89.33921569
1,0,0,18,68.19215686
1,0,0,19,53.25294118
1,0,0,20,61.30784314
1,0,0,21,71.44509804
1,0,0,22,59.08431373
1,0,0,23,104.7843137
1,0,0,24,96.50784314
1,0,30,9,57.56470588
1,0,30,10,52.96862745
1,0,30,11,56.13529412
1,0,30,12,67.18235294
1,0,30,13,48.00784314
1,0,30,14,40.54901961
1,0,30,15,41.96666667
1,0,30,16,48.8
1,0,30,17,64.40980392
1,0,30,18,48.1745098
1,0,30,19,37.82156863
1,0,30,20,43.92352941
1,0,30,21,50.82352941
1,0,30,22,41.3627451
1,0,30,23,70.4745098
1,0,30,24,65.68823529
1,1,0,9,43.07058824
1,1,0,10,38.95686275
1,1,0,11,41.28235294
1,1,0,12,48.38627451
1,1,0,13,34.80392157
1,1,0,14,29.41176471
1,1,0,15,30.18823529
1,1,0,16,34.16862745
1,1,0,17,45.28039216
1,1,0,18,33.79803922
1,1,0,19,27.07647059
1,1,0,20,31.58823529
1,1,0,21,36.47058824
1,1,0,22,29.61960784
1,1,0,23,47.18627451
1,1,0,24,45.14509804
1,1,30,9,33.7254902
1,1,30,10,29.95490196
1,1,30,11,31.72352941
1,1,30,12,36.09019608
1,1,30,13,26.54509804
1,1,30,14,22.4372549
1,1,30,15,22.35882353
1,1,30,16,25.39215686
1,1,30,17,34.2745098
1,1,30,18,25.44509804
1,1,30,19,20.00980392
1,1,30,20,23.3745098
1,1,30,21,27.19019608
1,1,30,22,21.78235294
1,1,30,23,33.84117647
1,1,30,24,32.82941176
1,2,0,9,25.4627451
1,2,0,10,21.55490196
1,2,0,11,22.38235294
1,2,0,12,27.6745098
1,2,0,13,19.91568627
1,2,0,14,16.81176471
1,2,0,15,16.5254902
1,2,0,16,19.60980392
1,2,0,17,26.25098039
1,2,0,18,19.2
1,2,0,19,15.25686275
1,2,0,20,18.26470588
1,2,0,21,21.16666667
1,2,0,22,16.25686275
1,2,0,23,25.40784314
1,2,0,24,25.39215686
1,2,30,9,18.7372549
1,2,30,10,15.21764706
1,2,30,11,15.04705882
1,2,30,12,22.23333333
1,2,30,13,15.36470588
1,2,30,14,13.18235294
1,2,30,15,12.60784314
1,2,30,16,15.42745098
1,2,30,17,21.25294118
1,2,30,18,15.21176471
1,2,30,19,12.20392157
1,2,30,20,14.58627451
1,2,30,21,16.93921569
1,2,30,22,13.03921569
